period_in_session,subject,behavioral_evaluator_choice,bayes_evaluator_choice,session,subject_in_session,group,q,bluecore,blueshell,block,period_in_block,evaluator_choice,payoff,game,order,bluereport,period_in_treatment,role,urn,reporter_choice,reporter_truth,q8,lateblock,cc,hf,cl,ca,orangereport_orangecore,bluereport_bluecore,bluereport_orangecore,orangereport_bluecore,oreport_ocore_vs_breport_bcore,breport_bcore_vs_breport_ocore,breport_ocore_vs_oreport_bcore
1,1,,,1,1,1,6,1,0,1,1,70,.7,HF,6868,1,1,reporter,uninformative,lie,0,0,0,0,1,0,0,0,1,0,0,1,0,
2,1,,,1,1,1,6,1,0,1,2,50,.5,HF,6868,1,2,reporter,uninformative,lie,0,0,0,0,1,0,0,0,1,0,0,1,0,
3,1,,,1,1,1,6,1,0,1,3,23,.23,HF,6868,0,3,reporter,uninformative,truth,1,0,0,0,1,0,0,0,0,0,1,,,1
4,1,,,1,1,1,6,0,1,1,4,25,.25,HF,6868,1,4,reporter,uninformative,truth,1,0,0,0,1,0,0,0,0,1,0,,1,0
5,1,,,1,1,1,6,1,1,1,5,40,.4,HF,6868,1,5,reporter,informative,truth,1,0,0,0,1,0,0,0,1,0,0,1,0,
6,1,,,1,1,1,6,1,1,1,6,52,.52,HF,6868,1,6,reporter,informative,truth,1,0,0,0,1,0,0,0,1,0,0,1,0,
7,1,,,1,1,1,6,1,0,1,7,23,.23,HF,6868,0,7,reporter,uninformative,truth,1,0,0,0,1,0,0,0,0,0,1,,,1
8,1,,,1,1,1,6,1,1,1,8,73,.73,HF,6868,1,8,reporter,informative,truth,1,0,0,0,1,0,0,0,1,0,0,1,0,
9,1,,,1,1,1,6,0,0,1,9,55,.55,HF,6868,0,9,reporter,uninformative,truth,1,0,0,0,1,0,0,1,0,0,0,0,,
10,1,,,1,1,1,6,1,1,1,10,66.55,.67,HF,6868,1,10,reporter,uninformative,truth,1,0,0,0,1,0,0,0,1,0,0,1,0,
11,1,,,1,1,1,6,1,1,1,11,68,.6800000000000001,HF,6868,1,11,reporter,uninformative,truth,1,0,0,0,1,0,0,0,1,0,0,1,0,
12,1,,,1,1,1,6,1,0,1,12,23,.23,HF,6868,0,12,reporter,uninformative,truth,1,0,0,0,1,0,0,0,0,0,1,,,1
13,1,,,1,1,1,6,1,1,1,13,65,.65,HF,6868,1,13,reporter,uninformative,truth,1,0,0,0,1,0,0,0,1,0,0,1,0,
14,1,,,1,1,1,6,1,0,1,14,33,.33,HF,6868,0,14,reporter,uninformative,truth,1,0,0,0,1,0,0,0,0,0,1,,,1
15,1,,,1,1,1,6,1,1,1,15,62.46,.62,HF,6868,1,15,reporter,informative,truth,1,0,0,0,1,0,0,0,1,0,0,1,0,
16,1,,,1,1,1,6,1,1,1,16,70,.7,HF,6868,1,16,reporter,uninformative,truth,1,0,0,0,1,0,0,0,1,0,0,1,0,
17,1,,,1,1,1,8,1,1,2,1,50,.5,HF,6868,1,1,reporter,informative,lie,0,1,0,0,1,0,0,0,1,0,0,1,0,
18,1,,,1,1,1,8,1,1,2,2,50,.5,HF,6868,1,2,reporter,informative,lie,0,1,0,0,1,0,0,0,1,0,0,1,0,
19,1,,,1,1,1,8,1,0,2,3,80,.8,HF,6868,1,3,reporter,uninformative,lie,0,1,0,0,1,0,0,0,1,0,0,1,0,
20,1,,,1,1,1,8,0,0,2,4,0,0,HF,6868,1,4,reporter,informative,lie,0,1,0,0,1,0,0,0,0,1,0,,1,0
21,1,,,1,1,1,8,1,1,2,5,58,.58,HF,6868,1,5,reporter,informative,lie,0,1,0,0,1,0,0,0,1,0,0,1,0,
22,1,,,1,1,1,8,1,1,2,6,55,.55,HF,6868,1,6,reporter,uninformative,lie,0,1,0,0,1,0,0,0,1,0,0,1,0,
23,1,,,1,1,1,8,1,1,2,7,65.76000000000001,.66,HF,6868,1,7,reporter,informative,lie,0,1,0,0,1,0,0,0,1,0,0,1,0,
24,1,,,1,1,1,8,0,0,2,8,50,.5,HF,6868,1,8,reporter,informative,lie,0,1,0,0,1,0,0,0,0,1,0,,1,0
25,1,,,1,1,1,8,0,1,2,9,40,.4,HF,6868,1,9,reporter,uninformative,lie,0,1,0,0,1,0,0,0,0,1,0,,1,0
26,1,,,1,1,1,8,1,1,2,10,61,.61,HF,6868,1,10,reporter,informative,lie,0,1,0,0,1,0,0,0,1,0,0,1,0,
27,1,,,1,1,1,8,1,1,2,11,68,.6800000000000001,HF,6868,1,11,reporter,uninformative,lie,0,1,0,0,1,0,0,0,1,0,0,1,0,
28,1,,,1,1,1,8,1,1,2,12,55,.55,HF,6868,1,12,reporter,informative,lie,0,1,0,0,1,0,0,0,1,0,0,1,0,
29,1,,,1,1,1,8,0,1,2,13,35,.35,HF,6868,1,13,reporter,uninformative,lie,0,1,0,0,1,0,0,0,0,1,0,,1,0
30,1,,,1,1,1,8,0,0,2,14,33,.33,HF,6868,1,14,reporter,uninformative,lie,0,1,0,0,1,0,0,0,0,1,0,,1,0
31,1,,,1,1,1,8,0,1,2,15,15,.15,HF,6868,1,15,reporter,uninformative,lie,0,1,0,0,1,0,0,0,0,1,0,,1,0
32,1,,,1,1,1,8,1,1,2,16,50,.5,HF,6868,1,16,reporter,informative,lie,0,1,0,0,1,0,0,0,1,0,0,1,0,
33,1,,,1,1,1,6,0,0,3,1,50,.5,HF,6868,0,17,reporter,informative,truth,1,0,1,0,1,0,0,1,0,0,0,0,,
34,1,,,1,1,1,6,1,1,3,2,55,.55,HF,6868,1,18,reporter,informative,truth,1,0,1,0,1,0,0,0,1,0,0,1,0,
35,1,,,1,1,1,6,0,1,3,3,40,.4,HF,6868,1,19,reporter,uninformative,truth,1,0,1,0,1,0,0,0,0,1,0,,1,0
36,1,,,1,1,1,6,0,0,3,4,45,.45,HF,6868,0,20,reporter,informative,truth,1,0,1,0,1,0,0,1,0,0,0,0,,
37,1,,,1,1,1,6,0,0,3,5,45,.45,HF,6868,0,21,reporter,informative,truth,1,0,1,0,1,0,0,1,0,0,0,0,,
38,1,,,1,1,1,6,1,1,3,6,65,.65,HF,6868,1,22,reporter,uninformative,truth,1,0,1,0,1,0,0,0,1,0,0,1,0,
39,1,,,1,1,1,6,0,1,3,7,40,.4,HF,6868,1,23,reporter,uninformative,truth,1,0,1,0,1,0,0,0,0,1,0,,1,0
40,1,,,1,1,1,6,0,0,3,8,66,.66,HF,6868,0,24,reporter,informative,truth,1,0,1,0,1,0,0,1,0,0,0,0,,
41,1,,,1,1,1,6,1,0,3,9,.57,.01,HF,6868,0,25,reporter,uninformative,truth,1,0,1,0,1,0,0,0,0,0,1,,,1
42,1,,,1,1,1,6,1,1,3,10,83.62000000000001,.84,HF,6868,1,26,reporter,uninformative,truth,1,0,1,0,1,0,0,0,1,0,0,1,0,
43,1,,,1,1,1,6,1,0,3,11,1,.01,HF,6868,0,27,reporter,uninformative,truth,1,0,1,0,1,0,0,0,0,0,1,,,1
44,1,,,1,1,1,6,0,1,3,12,22.53,.23,HF,6868,1,28,reporter,uninformative,truth,1,0,1,0,1,0,0,0,0,1,0,,1,0
45,1,,,1,1,1,6,1,0,3,13,30,.3,HF,6868,0,29,reporter,uninformative,truth,1,0,1,0,1,0,0,0,0,0,1,,,1
46,1,,,1,1,1,6,1,1,3,14,62,.62,HF,6868,1,30,reporter,informative,truth,1,0,1,0,1,0,0,0,1,0,0,1,0,
47,1,,,1,1,1,6,1,1,3,15,55,.55,HF,6868,1,31,reporter,uninformative,lie,0,0,1,0,1,0,0,0,1,0,0,1,0,
48,1,,,1,1,1,6,1,0,3,16,50,.5,HF,6868,1,32,reporter,uninformative,lie,0,0,1,0,1,0,0,0,1,0,0,1,0,
49,1,,,1,1,1,8,1,1,4,1,64,.64,HF,6868,1,17,reporter,informative,lie,0,1,1,0,1,0,0,0,1,0,0,1,0,
50,1,,,1,1,1,8,1,1,4,2,80.04000000000001,.8,HF,6868,1,18,reporter,informative,lie,0,1,1,0,1,0,0,0,1,0,0,1,0,
51,1,,,1,1,1,8,1,0,4,3,50,.5,HF,6868,1,19,reporter,uninformative,lie,0,1,1,0,1,0,0,0,1,0,0,1,0,
52,1,,,1,1,1,8,1,1,4,4,55,.55,HF,6868,1,20,reporter,informative,lie,0,1,1,0,1,0,0,0,1,0,0,1,0,
53,1,,,1,1,1,8,1,1,4,5,50,.5,HF,6868,1,21,reporter,informative,lie,0,1,1,0,1,0,0,0,1,0,0,1,0,
54,1,,,1,1,1,8,0,0,4,6,33,.33,HF,6868,1,22,reporter,informative,lie,0,1,1,0,1,0,0,0,0,1,0,,1,0
55,1,,,1,1,1,8,1,1,4,7,53,.53,HF,6868,1,23,reporter,informative,lie,0,1,1,0,1,0,0,0,1,0,0,1,0,
56,1,,,1,1,1,8,1,1,4,8,51,.51,HF,6868,1,24,reporter,informative,lie,0,1,1,0,1,0,0,0,1,0,0,1,0,
57,1,,,1,1,1,8,0,1,4,9,50,.5,HF,6868,1,25,reporter,uninformative,lie,0,1,1,0,1,0,0,0,0,1,0,,1,0
58,1,,,1,1,1,8,1,1,4,10,50,.5,HF,6868,1,26,reporter,uninformative,lie,0,1,1,0,1,0,0,0,1,0,0,1,0,
59,1,,,1,1,1,8,0,1,4,11,0,0,HF,6868,1,27,reporter,uninformative,lie,0,1,1,0,1,0,0,0,0,1,0,,1,0
60,1,,,1,1,1,8,1,1,4,12,55,.55,HF,6868,1,28,reporter,informative,lie,0,1,1,0,1,0,0,0,1,0,0,1,0,
61,1,,,1,1,1,8,1,0,4,13,55,.55,HF,6868,1,29,reporter,uninformative,lie,0,1,1,0,1,0,0,0,1,0,0,1,0,
62,1,,,1,1,1,8,0,0,4,14,20,.2,HF,6868,1,30,reporter,uninformative,lie,0,1,1,0,1,0,0,0,0,1,0,,1,0
63,1,,,1,1,1,8,1,1,4,15,78,.78,HF,6868,1,31,reporter,informative,lie,0,1,1,0,1,0,0,0,1,0,0,1,0,
64,1,,,1,1,1,8,1,1,4,16,30,.3,HF,6868,1,32,reporter,uninformative,lie,0,1,1,0,1,0,0,0,1,0,0,1,0,
1,2,,,1,2,2,6,1,0,1,1,19.8,.2,HF,6868,0,1,reporter,uninformative,truth,1,0,0,0,1,0,0,0,0,0,1,,,1
2,2,,,1,2,2,6,1,0,1,2,61.43,.61,HF,6868,1,2,reporter,uninformative,lie,0,0,0,0,1,0,0,0,1,0,0,1,0,
3,2,,,1,2,2,6,0,0,1,3,66.09999999999999,.66,HF,6868,0,3,reporter,uninformative,truth,1,0,0,0,1,0,0,1,0,0,0,0,,
4,2,,,1,2,2,6,1,1,1,4,70,.7,HF,6868,1,4,reporter,informative,lie,0,0,0,0,1,0,0,0,1,0,0,1,0,
5,2,,,1,2,2,6,1,0,1,5,30,.3,HF,6868,0,5,reporter,uninformative,truth,1,0,0,0,1,0,0,0,0,0,1,,,1
6,2,,,1,2,2,6,0,0,1,6,40,.4,HF,6868,0,6,reporter,informative,truth,1,0,0,0,1,0,0,1,0,0,0,0,,
7,2,,,1,2,2,6,0,0,1,7,40,.4,HF,6868,1,7,reporter,informative,lie,0,0,0,0,1,0,0,0,0,1,0,,1,0
8,2,,,1,2,2,6,0,1,1,8,33,.33,HF,6868,1,8,reporter,uninformative,lie,0,0,0,0,1,0,0,0,0,1,0,,1,0
9,2,,,1,2,2,6,0,1,1,9,30,.3,HF,6868,1,9,reporter,uninformative,lie,0,0,0,0,1,0,0,0,0,1,0,,1,0
10,2,,,1,2,2,6,1,0,1,10,62,.62,HF,6868,1,10,reporter,uninformative,lie,0,0,0,0,1,0,0,0,1,0,0,1,0,
11,2,,,1,2,2,6,1,0,1,11,33,.33,HF,6868,0,11,reporter,uninformative,truth,1,0,0,0,1,0,0,0,0,0,1,,,1
12,2,,,1,2,2,6,0,0,1,12,75,.75,HF,6868,0,12,reporter,uninformative,truth,1,0,0,0,1,0,0,1,0,0,0,0,,
13,2,,,1,2,2,6,1,1,1,13,66,.66,HF,6868,1,13,reporter,informative,lie,0,0,0,0,1,0,0,0,1,0,0,1,0,
14,2,,,1,2,2,6,1,1,1,14,80,.8,HF,6868,1,14,reporter,uninformative,lie,0,0,0,0,1,0,0,0,1,0,0,1,0,
15,2,,,1,2,2,6,0,0,1,15,0,0,HF,6868,1,15,reporter,informative,lie,0,0,0,0,1,0,0,0,0,1,0,,1,0
16,2,,,1,2,2,6,1,1,1,16,60,.6,HF,6868,1,16,reporter,informative,lie,0,0,0,0,1,0,0,0,1,0,0,1,0,
17,2,,,1,2,2,8,1,1,2,1,80,.8,HF,6868,1,1,reporter,informative,lie,0,1,0,0,1,0,0,0,1,0,0,1,0,
18,2,,,1,2,2,8,1,1,2,2,65,.65,HF,6868,1,2,reporter,uninformative,truth,1,1,0,0,1,0,0,0,1,0,0,1,0,
19,2,,,1,2,2,8,0,0,2,3,20,.2,HF,6868,1,3,reporter,informative,lie,0,1,0,0,1,0,0,0,0,1,0,,1,0
20,2,,,1,2,2,8,1,0,2,4,70,.7,HF,6868,1,4,reporter,uninformative,lie,0,1,0,0,1,0,0,0,1,0,0,1,0,
21,2,,,1,2,2,8,1,1,2,5,60,.6,HF,6868,1,5,reporter,informative,truth,1,1,0,0,1,0,0,0,1,0,0,1,0,
22,2,,,1,2,2,8,0,0,2,6,38,.38,HF,6868,0,6,reporter,informative,truth,1,1,0,0,1,0,0,1,0,0,0,0,,
23,2,,,1,2,2,8,1,1,2,7,50,.5,HF,6868,1,7,reporter,informative,lie,0,1,0,0,1,0,0,0,1,0,0,1,0,
24,2,,,1,2,2,8,1,1,2,8,80,.8,HF,6868,1,8,reporter,uninformative,truth,1,1,0,0,1,0,0,0,1,0,0,1,0,
25,2,,,1,2,2,8,0,0,2,9,65,.65,HF,6868,0,9,reporter,informative,truth,1,1,0,0,1,0,0,1,0,0,0,0,,
26,2,,,1,2,2,8,1,0,2,10,50,.5,HF,6868,1,10,reporter,uninformative,lie,0,1,0,0,1,0,0,0,1,0,0,1,0,
27,2,,,1,2,2,8,1,1,2,11,74.52,.75,HF,6868,1,11,reporter,informative,lie,0,1,0,0,1,0,0,0,1,0,0,1,0,
28,2,,,1,2,2,8,0,0,2,12,74.52,.75,HF,6868,0,12,reporter,uninformative,truth,1,1,0,0,1,0,0,1,0,0,0,0,,
29,2,,,1,2,2,8,1,1,2,13,50,.5,HF,6868,1,13,reporter,informative,lie,0,1,0,0,1,0,0,0,1,0,0,1,0,
30,2,,,1,2,2,8,1,1,2,14,56,.5600000000000001,HF,6868,1,14,reporter,informative,lie,0,1,0,0,1,0,0,0,1,0,0,1,0,
31,2,,,1,2,2,8,1,1,2,15,78,.78,HF,6868,1,15,reporter,informative,truth,1,1,0,0,1,0,0,0,1,0,0,1,0,
32,2,,,1,2,2,8,1,0,2,16,1,.01,HF,6868,0,16,reporter,uninformative,truth,1,1,0,0,1,0,0,0,0,0,1,,,1
33,2,,,1,2,2,6,1,0,3,1,65,.65,HF,6868,1,17,reporter,uninformative,lie,0,0,1,0,1,0,0,0,1,0,0,1,0,
34,2,,,1,2,2,6,0,1,3,2,44,.44,HF,6868,1,18,reporter,uninformative,lie,0,0,1,0,1,0,0,0,0,1,0,,1,0
35,2,,,1,2,2,6,1,1,3,3,65,.65,HF,6868,1,19,reporter,informative,truth,1,0,1,0,1,0,0,0,1,0,0,1,0,
36,2,,,1,2,2,6,1,1,3,4,80,.8,HF,6868,1,20,reporter,informative,lie,0,0,1,0,1,0,0,0,1,0,0,1,0,
37,2,,,1,2,2,6,1,0,3,5,25,.25,HF,6868,0,21,reporter,uninformative,truth,1,0,1,0,1,0,0,0,0,0,1,,,1
38,2,,,1,2,2,6,1,1,3,6,50,.5,HF,6868,1,22,reporter,informative,truth,1,0,1,0,1,0,0,0,1,0,0,1,0,
39,2,,,1,2,2,6,0,0,3,7,68,.6800000000000001,HF,6868,0,23,reporter,uninformative,truth,1,0,1,0,1,0,0,1,0,0,0,0,,
40,2,,,1,2,2,6,1,1,3,8,63,.63,HF,6868,1,24,reporter,uninformative,lie,0,0,1,0,1,0,0,0,1,0,0,1,0,
41,2,,,1,2,2,6,0,0,3,9,70,.7,HF,6868,0,25,reporter,informative,truth,1,0,1,0,1,0,0,1,0,0,0,0,,
42,2,,,1,2,2,6,0,0,3,10,40,.4,HF,6868,1,26,reporter,uninformative,lie,0,0,1,0,1,0,0,0,0,1,0,,1,0
43,2,,,1,2,2,6,1,1,3,11,33,.33,HF,6868,1,27,reporter,uninformative,lie,0,0,1,0,1,0,0,0,1,0,0,1,0,
44,2,,,1,2,2,6,0,0,3,12,80,.8,HF,6868,0,28,reporter,informative,truth,1,0,1,0,1,0,0,1,0,0,0,0,,
45,2,,,1,2,2,6,1,1,3,13,50,.5,HF,6868,1,29,reporter,uninformative,lie,0,0,1,0,1,0,0,0,1,0,0,1,0,
46,2,,,1,2,2,6,0,1,3,14,15,.15,HF,6868,1,30,reporter,uninformative,truth,1,0,1,0,1,0,0,0,0,1,0,,1,0
47,2,,,1,2,2,6,1,0,3,15,20,.2,HF,6868,0,31,reporter,uninformative,truth,1,0,1,0,1,0,0,0,0,0,1,,,1
48,2,,,1,2,2,6,0,1,3,16,25,.25,HF,6868,1,32,reporter,uninformative,truth,1,0,1,0,1,0,0,0,0,1,0,,1,0
49,2,,,1,2,2,8,0,0,4,1,20.01,.2,HF,6868,1,17,reporter,uninformative,lie,0,1,1,0,1,0,0,0,0,1,0,,1,0
50,2,,,1,2,2,8,1,1,4,2,70,.7,HF,6868,1,18,reporter,informative,lie,0,1,1,0,1,0,0,0,1,0,0,1,0,
51,2,,,1,2,2,8,0,0,4,3,15,.15,HF,6868,1,19,reporter,uninformative,lie,0,1,1,0,1,0,0,0,0,1,0,,1,0
52,2,,,1,2,2,8,0,1,4,4,25,.25,HF,6868,1,20,reporter,uninformative,lie,0,1,1,0,1,0,0,0,0,1,0,,1,0
53,2,,,1,2,2,8,1,1,4,5,55,.55,HF,6868,1,21,reporter,informative,lie,0,1,1,0,1,0,0,0,1,0,0,1,0,
54,2,,,1,2,2,8,1,1,4,6,55,.55,HF,6868,1,22,reporter,informative,lie,0,1,1,0,1,0,0,0,1,0,0,1,0,
55,2,,,1,2,2,8,0,0,4,7,25,.25,HF,6868,1,23,reporter,informative,lie,0,1,1,0,1,0,0,0,0,1,0,,1,0
56,2,,,1,2,2,8,1,1,4,8,65,.65,HF,6868,1,24,reporter,uninformative,lie,0,1,1,0,1,0,0,0,1,0,0,1,0,
57,2,,,1,2,2,8,1,1,4,9,55,.55,HF,6868,1,25,reporter,informative,lie,0,1,1,0,1,0,0,0,1,0,0,1,0,
58,2,,,1,2,2,8,1,1,4,10,50,.5,HF,6868,1,26,reporter,uninformative,lie,0,1,1,0,1,0,0,0,1,0,0,1,0,
59,2,,,1,2,2,8,0,1,4,11,20.01,.2,HF,6868,1,27,reporter,uninformative,lie,0,1,1,0,1,0,0,0,0,1,0,,1,0
60,2,,,1,2,2,8,1,1,4,12,50,.5,HF,6868,1,28,reporter,informative,lie,0,1,1,0,1,0,0,0,1,0,0,1,0,
61,2,,,1,2,2,8,1,1,4,13,70,.7,HF,6868,1,29,reporter,informative,lie,0,1,1,0,1,0,0,0,1,0,0,1,0,
62,2,,,1,2,2,8,1,1,4,14,66,.66,HF,6868,1,30,reporter,uninformative,truth,1,1,1,0,1,0,0,0,1,0,0,1,0,
63,2,,,1,2,2,8,1,1,4,15,64,.64,HF,6868,1,31,reporter,informative,truth,1,1,1,0,1,0,0,0,1,0,0,1,0,
64,2,,,1,2,2,8,1,1,4,16,50,.5,HF,6868,1,32,reporter,informative,lie,0,1,1,0,1,0,0,0,1,0,0,1,0,
1,3,,,1,3,3,6,1,0,1,1,85,.85,HF,6868,1,1,reporter,uninformative,lie,0,0,0,0,1,0,0,0,1,0,0,1,0,
2,3,,,1,3,3,6,0,0,1,2,60,.6,HF,6868,0,2,reporter,uninformative,truth,1,0,0,0,1,0,0,1,0,0,0,0,,
3,3,,,1,3,3,6,1,1,1,3,60,.6,HF,6868,1,3,reporter,informative,lie,0,0,0,0,1,0,0,0,1,0,0,1,0,
4,3,,,1,3,3,6,0,0,1,4,70,.7,HF,6868,0,4,reporter,informative,truth,1,0,0,0,1,0,0,1,0,0,0,0,,
5,3,,,1,3,3,6,0,0,1,5,30,.3,HF,6868,1,5,reporter,informative,lie,0,0,0,0,1,0,0,0,0,1,0,,1,0
6,3,,,1,3,3,6,1,1,1,6,50,.5,HF,6868,1,6,reporter,uninformative,truth,1,0,0,0,1,0,0,0,1,0,0,1,0,
7,3,,,1,3,3,6,1,0,1,7,63,.63,HF,6868,1,7,reporter,uninformative,lie,0,0,0,0,1,0,0,0,1,0,0,1,0,
8,3,,,1,3,3,6,1,0,1,8,50,.5,HF,6868,1,8,reporter,uninformative,lie,0,0,0,0,1,0,0,0,1,0,0,1,0,
9,3,,,1,3,3,6,0,0,1,9,60,.6,HF,6868,1,9,reporter,uninformative,lie,0,0,0,0,1,0,0,0,0,1,0,,1,0
10,3,,,1,3,3,6,0,1,1,10,40,.4,HF,6868,1,10,reporter,uninformative,truth,1,0,0,0,1,0,0,0,0,1,0,,1,0
11,3,,,1,3,3,6,0,1,1,11,26,.26,HF,6868,1,11,reporter,uninformative,lie,0,0,0,0,1,0,0,0,0,1,0,,1,0
12,3,,,1,3,3,6,1,1,1,12,75,.75,HF,6868,1,12,reporter,informative,lie,0,0,0,0,1,0,0,0,1,0,0,1,0,
13,3,,,1,3,3,6,0,0,1,13,70,.7,HF,6868,0,13,reporter,informative,truth,1,0,0,0,1,0,0,1,0,0,0,0,,
14,3,,,1,3,3,6,1,1,1,14,55,.55,HF,6868,1,14,reporter,informative,truth,1,0,0,0,1,0,0,0,1,0,0,1,0,
15,3,,,1,3,3,6,1,0,1,15,0,0,HF,6868,0,15,reporter,uninformative,truth,1,0,0,0,1,0,0,0,0,0,1,,,1
16,3,,,1,3,3,6,1,1,1,16,80,.8,HF,6868,1,16,reporter,informative,truth,1,0,0,0,1,0,0,0,1,0,0,1,0,
17,3,,,1,3,3,8,0,0,2,1,100,1,HF,6868,0,1,reporter,uninformative,truth,1,1,0,0,1,0,0,1,0,0,0,0,,
18,3,,,1,3,3,8,0,0,2,2,40,.4,HF,6868,1,2,reporter,uninformative,lie,0,1,0,0,1,0,0,0,0,1,0,,1,0
19,3,,,1,3,3,8,0,1,2,3,43,.43,HF,6868,1,3,reporter,uninformative,truth,1,1,0,0,1,0,0,0,0,1,0,,1,0
20,3,,,1,3,3,8,1,1,2,4,0,0,HF,6868,1,4,reporter,informative,truth,1,1,0,0,1,0,0,0,1,0,0,1,0,
21,3,,,1,3,3,8,1,0,2,5,45,.45,HF,6868,0,5,reporter,uninformative,truth,1,1,0,0,1,0,0,0,0,0,1,,,1
22,3,,,1,3,3,8,0,1,2,6,33,.33,HF,6868,1,6,reporter,uninformative,truth,1,1,0,0,1,0,0,0,0,1,0,,1,0
23,3,,,1,3,3,8,1,1,2,7,65,.65,HF,6868,1,7,reporter,uninformative,truth,1,1,0,0,1,0,0,0,1,0,0,1,0,
24,3,,,1,3,3,8,1,1,2,8,55,.55,HF,6868,1,8,reporter,uninformative,truth,1,1,0,0,1,0,0,0,1,0,0,1,0,
25,3,,,1,3,3,8,1,1,2,9,60,.6,HF,6868,1,9,reporter,informative,truth,1,1,0,0,1,0,0,0,1,0,0,1,0,
26,3,,,1,3,3,8,0,1,2,10,30,.3,HF,6868,1,10,reporter,uninformative,truth,1,1,0,0,1,0,0,0,0,1,0,,1,0
27,3,,,1,3,3,8,0,0,2,11,55,.55,HF,6868,0,11,reporter,uninformative,truth,1,1,0,0,1,0,0,1,0,0,0,0,,
28,3,,,1,3,3,8,0,0,2,12,50,.5,HF,6868,1,12,reporter,informative,lie,0,1,0,0,1,0,0,0,0,1,0,,1,0
29,3,,,1,3,3,8,1,1,2,13,80,.8,HF,6868,1,13,reporter,uninformative,truth,1,1,0,0,1,0,0,0,1,0,0,1,0,
30,3,,,1,3,3,8,0,0,2,14,40,.4,HF,6868,0,14,reporter,informative,truth,1,1,0,0,1,0,0,1,0,0,0,0,,
31,3,,,1,3,3,8,1,1,2,15,60,.6,HF,6868,1,15,reporter,informative,truth,1,1,0,0,1,0,0,0,1,0,0,1,0,
32,3,,,1,3,3,8,0,1,2,16,20,.2,HF,6868,1,16,reporter,uninformative,truth,1,1,0,0,1,0,0,0,0,1,0,,1,0
33,3,,,1,3,3,6,0,0,3,1,50,.5,HF,6868,1,17,reporter,informative,lie,0,0,1,0,1,0,0,0,0,1,0,,1,0
34,3,,,1,3,3,6,1,1,3,2,45,.45,HF,6868,1,18,reporter,informative,truth,1,0,1,0,1,0,0,0,1,0,0,1,0,
35,3,,,1,3,3,6,0,0,3,3,74,.74,HF,6868,0,19,reporter,uninformative,truth,1,0,1,0,1,0,0,1,0,0,0,0,,
36,3,,,1,3,3,6,0,1,3,4,58,.58,HF,6868,1,20,reporter,uninformative,truth,1,0,1,0,1,0,0,0,0,1,0,,1,0
37,3,,,1,3,3,6,0,0,3,5,74.18000000000001,.74,HF,6868,0,21,reporter,informative,truth,1,0,1,0,1,0,0,1,0,0,0,0,,
38,3,,,1,3,3,6,0,0,3,6,70,.7,HF,6868,0,22,reporter,informative,truth,1,0,1,0,1,0,0,1,0,0,0,0,,
39,3,,,1,3,3,6,1,1,3,7,20,.2,HF,6868,1,23,reporter,informative,truth,1,0,1,0,1,0,0,0,1,0,0,1,0,
40,3,,,1,3,3,6,1,1,3,8,50,.5,HF,6868,1,24,reporter,uninformative,truth,1,0,1,0,1,0,0,0,1,0,0,1,0,
41,3,,,1,3,3,6,0,1,3,9,21,.21,HF,6868,1,25,reporter,uninformative,lie,0,0,1,0,1,0,0,0,0,1,0,,1,0
42,3,,,1,3,3,6,0,1,3,10,40,.4,HF,6868,1,26,reporter,uninformative,lie,0,0,1,0,1,0,0,0,0,1,0,,1,0
43,3,,,1,3,3,6,0,0,3,11,50,.5,HF,6868,0,27,reporter,informative,truth,1,0,1,0,1,0,0,1,0,0,0,0,,
44,3,,,1,3,3,6,1,1,3,12,50,.5,HF,6868,1,28,reporter,informative,truth,1,0,1,0,1,0,0,0,1,0,0,1,0,
45,3,,,1,3,3,6,0,0,3,13,50,.5,HF,6868,1,29,reporter,informative,lie,0,0,1,0,1,0,0,0,0,1,0,,1,0
46,3,,,1,3,3,6,1,1,3,14,74.18000000000001,.74,HF,6868,1,30,reporter,informative,truth,1,0,1,0,1,0,0,0,1,0,0,1,0,
47,3,,,1,3,3,6,0,0,3,15,50,.5,HF,6868,1,31,reporter,informative,lie,0,0,1,0,1,0,0,0,0,1,0,,1,0
48,3,,,1,3,3,6,1,1,3,16,50,.5,HF,6868,1,32,reporter,informative,truth,1,0,1,0,1,0,0,0,1,0,0,1,0,
49,3,,,1,3,3,8,1,1,4,1,50,.5,HF,6868,1,17,reporter,informative,truth,1,1,1,0,1,0,0,0,1,0,0,1,0,
50,3,,,1,3,3,8,1,1,4,2,50,.5,HF,6868,1,18,reporter,informative,truth,1,1,1,0,1,0,0,0,1,0,0,1,0,
51,3,,,1,3,3,8,1,1,4,3,55,.55,HF,6868,1,19,reporter,informative,truth,1,1,1,0,1,0,0,0,1,0,0,1,0,
52,3,,,1,3,3,8,1,1,4,4,78,.78,HF,6868,1,20,reporter,uninformative,truth,1,1,1,0,1,0,0,0,1,0,0,1,0,
53,3,,,1,3,3,8,1,0,4,5,30,.3,HF,6868,0,21,reporter,uninformative,truth,1,1,1,0,1,0,0,0,0,0,1,,,1
54,3,,,1,3,3,8,1,1,4,6,50,.5,HF,6868,1,22,reporter,informative,truth,1,1,1,0,1,0,0,0,1,0,0,1,0,
55,3,,,1,3,3,8,1,0,4,7,50,.5,HF,6868,1,23,reporter,uninformative,lie,0,1,1,0,1,0,0,0,1,0,0,1,0,
